No,Site Name,Structure Type,Country,Nearest Town,Latitude,Longitude,UTM Zone,UTM Easting,UTM Northing ,Start_Year,Used_in_analysis,Source_Type,Language,Reference
19,La Peyre de Fonpeyre,Stone circle, France,Bergerac ,44.85121,0.48376,31T,301169,4969502,-5200,Yes,SC,EN,
20,Menhir de Kerlivio,Menhir, France,Lorient,47.955217,-3.387717,30T,471053,5311396,-5200,Yes,SC,EN,
21,Allée Couverte de Botquenven,Neolithic site, France,Lorient ,48.039819,-3.460427,30U,465681,5320828,-5200,Yes,ER,EN/FR,Yes (No. 21)
22,Dolmen de Guidfosse,Dolmen, France,Carhaix-Plouger,48.133924,-3.377907,30U ,471883,5331255,-5200,Yes,SC,EN,
23,Dhekia Pathar,Dolmen, India,Hazaribagh,24.08976,85.842336,45R,382329,2664650,-6570,No,SC,EN,
24,Punkri Burwadih,Neolithic site, India,Hazaribagh,23.872222,85.243056,44N,302874,2174107,-6570,No,SC,EN,
25,Chaibasa,Menhir, India,Chaibasa ,22.57,85.82,44N,297000,2412000,-6570,No,SC,EN,
26,Chianca di Santo Stefano Trilithon,Neolithic site, Italy, Puglia,40.206425,18.345,34T,274040,4454050,-6400,Yes,SC,EN/IT,Yes (No. 26)
27,Staurotomea Standing stone,Menhir, Italy, Puglia,40.20402,18.349506,34T,274416,4453771,-6400,Yes,SC,EN,
28,Placa Dolmen,Dolmen, Italy, Puglia,40.258526,18.309348,34T,271181,4459925,-6400,Yes,SC,EN,
29,Corte Noa Dolmen,Dolmen, Italy,Laconi ,39.892,9.0208,32S,501778,4415771,-5500,Yes,SC,EN,
30,Curru Tundu,Menhir, Italy,Nuoro,39.875294,8.900942,32S,491529,4413921,-5500,Yes,SC,EN,
31,Is Cirquittus Circoli Megalitici ,Stone circle, Italy,Nuoro ,39.85639,8.95944,32S,496531,4411819,-5500,Yes,SC,EN,
32,Mesadda Domus de Janas,Neolithic site, Italy,Oristano,39.913933,8.894699,32S,491000,4418210,-5500,Yes,PR,EN/IT,Yes (No. 32)
33,Oppagne Menhirs,Menhir,Belgium,Barvaux,50.32158,5.5133,31U,678906,5577407,-4000,Yes,SC,EN,
34,Oppagne Dolmen,Dolmen,Belgium,Barvaux,50.32165,5.51303,31U,678887,5577414,-4000,Yes,SC,EN,
35,Alignement de Danthine,Neolithic site,Belgium,Barvaux,50.32597,5.51696,31U,679150,5577904,-4000,Yes,SC,EN/FR,Yes (No. 35)
36,Forrières,Stone circle,Belgium,Rochefort ,50.1304,5.2671,31U,662029,5555590,-4000,Yes,SC,EN,
37,Chuchul Kamak,Menhir,Bulgaria,Harmanli  ,42.010816,25.997306,35T,416973,4651463,-6400,Yes,SC,EN,
38,Nabta Playa,Stone circle,Egypt, Wadi Halfa,22.5058,30.7303,36Q,266516,2490584,-6400,No,SC,EN,
39,Down Barn,Menhir,England,Wiltshire ,51.424274,-1.814994,30U,582389,5697674,-4000,Yes,SC,EN,
40,Avebury Down Stone Circle,Stone circle,England,Marlborough,51.440311,-1.836942,30U,580835,5699433,-4000,Yes,SC,EN,
41,Avebury Down Bell Barrow ,Neolithic site,England,Marlborough,51.437352,-1.842563,30U,580450,5699097,-4000,Yes,ER/SC,EN,Yes (No. 41)
42,Süntelstein,Menhir,Germany,Belm,52.358167,8.1495,32U,442080,5801216,-4100,Yes,SC,EN,
43,Teufels Teigtrog ,Neolithic site,Germany,Osnabrück,52.35024,8.15962,32U,442759,5800326,-4100,Yes,SC/ER,EN/DE,Yes (No. 43)
44,Slopsteine,Dolmen,Germany,Belm,52.31198,8.20118,32U,445543,5796039,-4100,Yes,SC,EN,
45,Ammes Livathous,Stone circle,Greece,Argostoli ,38.103252,20.511541,34S,457175,4217384,-6400,Yes,SC,EN,
46, Sesklo,Neolithic site,Greece,Vólos,39.355857,22.842533,34S,658751,4357887,-6400,Yes,SC,EN,
47, Menhir of Naxos ,Menhir,Greece, Potamia ,37.066885,25.460101,35S,363101,4103401,-6400,Yes,SC,EN,
48,Dolmen Roussa,Dolmen,Greece,Komotini ,41.299357,26.024081,35T,418296,4572449,-6400,Yes,SC,EN,
49,Balix standing stone,Menhir,Ireland,Co. Tyrone ,54.802786,-7.279859,29U,610568,6074202,-4000,Yes,SC,EN,
50,Balix Lower,Neolithic site,Ireland,Co. Tyrone ,54.796896,-7.242027,29U,613016,6073608,-4000,Yes,SC/ER,EN,Yes (No. 50)
51,Castledamph S,Stone circle,Ireland,Co. Tyrone ,54.776794,-7.189567,29N,661120,5357794,-4000,Yes,SC,EN,
52,Barnes Gap mound and cist,Dolmen,Ireland,Strabane,54.742318,-7.140103,29U,619729,6067704,-4000,Yes,SC,EN,
53,Gamla Dolmen field,Dolmen,Israel,Katserin ,32.9063,35.7493,36S,757140,3644253,-6600,No,SC,EN,
54, NEG II Prehistoric Village,Neolithic site,Israel,Tiberias,32.784355,35.663329,36S,749438,3630521,-6600,No,SC/ER,EN/HE,Yes (No. 54)
55,The Gilgal associated  with Joshua,Stone circle,Israel,Antipatris,32.155833,34.952778,36S ,684153,3559379,-6400,No,SC,EN,
56,Ta’ Ċenċ Dolmen III,Dolmen,Malta,Xewkija,36.020129,14.26159,33S,433465,3986433,-6100,Yes,SC,EN,
57,Ta' Cenc Gallery Grave,Neolithic site,Malta,Valletta,36.0219,14.25578,33S,432943,3986634,-6100,Yes,SC/ER,EN/MT,Yes (No. 57)
58,L-Imrejzbiet,Stone circle,Malta,Victoria,36.029672,14.284565,33S,435543,3987476,-6100,Yes,SC,EN,
59,Il-Hagra L-Wieqfa,Menhir,Malta, Victoria  ,36.0379,14.3088,33S,437733,3988373,-6100,Yes,SC,EN,
60,Arthur's Stone,Dolmen,England,Hay-on-Wye,52.082263,-2.995375,30U,500317,5770188,-4000,Yes,SC,EN,
61,Steinkreis Schmölln,Stone circle,Germany,Prenzlau,53.297712,14.099044,33U,439954,5905768,-4100,Yes,SC,EN,
62,Anta de Carcavelos,Dolmen,Portugal,Carcavelos,38.885774,-9.216627,29S,481212,4304123,-5300,Yes,SC,EN,
63,Sintra Menhir,Menhir,Portugal,Sintra ,38.8,-9.38,29S,467003,4294651,-5300,Yes,SC,EN,
64,Anta do Monte Abraão,Neolithic site,Portugal,Queluz ,38.7682,-9.26473,29S,477002,4291087,-5300,Yes,SC/TH,EN/PT,Yes (No. 64)
65,Cromeleque de Cuncos,Stone circle,Portugal,Montemor-O-Novo,38.64509,-8.291068,29S,561694,4277631,-5300,Yes,SC,EN,
66,Casa da Moura Dolmen ,Dolmen,Portugal,Entrimo,41.990704,-8.118822,29T,572988,4649120,-5200,Yes,SC,EN,
67,Mamoa do Batateiro,Neolithic site,Portugal,Melgaço,41.991498,-8.268727,29T,560571,4649091,-5200,Yes,SC/ER/TH,EN/PT,Yes (No. 67)
68,Allanfearn,Dolmen,Scotland,Inverness ,57.500349,-4.144291,30V,431424,6373662,-4000,Yes,SC,EN,
69,Daviot Ring Cairn,Stone circle,Scotland,Highlands,57.442314,-4.122562,30V,432620,6367180,-4000,Yes,SC,EN,
70,Beechwood Farm Site,Neolithic site,Scotland,Inverness ,57.478,-4.185,30V,428941,6371216,-4000,Yes,SC,EN,Yes (No. 70)
71,Clach-na-Crudainn,Menhir,Scotland, Inverness ,57.477476,-4.225017,30V,426541,6371201,-4000,Yes,SC,EN,
72,Dolmen de Can Planes,Dolmen,Spain,La Roca del Vallès ,41.586064,2.340559,31T,445034,4604029,-5500,Yes,SC,EN,
73,Cromlec de Pins Rosers,Stone circle,Spain,Cataluña ,41.620875,2.362773,31T,446914,4607880,-5500,Yes,SC,EN,
74,Menhir de Can Freginals,Menhir,Spain,Cataluña,41.63207,2.458562,31T ,454902,4609068,-5500,Yes,SC,EN,
75,Pedra Foradada,Neolithic site,Spain,Granollers,41.56357,2.317888,31T,443125,4601546,-5500,Yes,SC,EN/ES,Yes (No. 75)
76,Menhir de La Lancha,Menhir,Spain,Vilamartín ,36.792641,-5.643736,30S,264110,4075131,-5500,Yes,SC,EN,
